Laadukas +	Laadukas -	Miellyttävä +	Miellyttävä -	Innovatiivinen +	Innovatiivinen -	Luotettava +	Luotettava -	Vastuullinen +	Vastuullinen -	Menestyvä+	Menestyvä -
ammattimainen	vähäarvostettu	arvostava	aggressiivinen	ajanmukainen	apaattinen	välitön	arvaamaton	aate	aatteeton	ansioitunut	alijäämäinen
ammattitaitoinen	alaluokkainen	asiakaslähtöinen	ahdasmielinen	ajanmukaiset	arka	vilpitön	arveluttava	aatteellinen	ajattelematon	isompi	alistuva
arvostama	arvoton	asiakasorientoitunut	ahdistava	avarakatseinen	ennalta-arvattava	vilpitön	arvoituksellinen	aatteellisesti	epäeettinen	itsenäinen	epävakaa
arvostettu	epäpätevä	auttavainen	autoritaarinen	dynaaminen	jähmeä	aito	epäilyttävä	eettinen	epäeettistä	kannattava	haavoittuva
arvostettua	epäsiisti	avulias	brutaali	edistyksellinen	jäykempi	avoimia	epäjohdonmukainen	eettinen	epäekologinen	kannattavaa	haavoittuvainen
arvostettuja	epätarkka	edullinen	dominoi	eloisa	jäykkä 	avoin	epälooginen	eettisyys	kestämätön	kasvaa	laskeva
arvovaltainen	haastava	empaattinen	dominoiva	elämäniloinen	kaavamainen	luotettava	epäluotettava	ekologinen	moraaliton	kasvamassa	menestyksetön
asiantunteva	hankala	hauska	epäasiallinen	eläväinen	kankea	luottamuksellinen	epäluuloinen	ekoteko	piittaamaton	kasvanut	riskialtis
elegantti	hankalaa	herttainen	epäkohtelias	energinen	kliseinen	luottamuksellista	epärealistinen	energiatehokas	rikollinen	kasvava	riskinen
elitistinen 	heikkolaatuinen	huolehtiva	epämiellyttävä	ennakkoluuloton	konservatiivi	rationaalinen	epärehellinen	etiikka	tekopyhä	kasvavien	taantuva
ensiluokkainen	heppoinen	huolehtivainen	epämukava	epätavallinen	konservatiivinen	realistinen	epärehellistä	idealistinen	vastuuton	kilpailukykyinen	tappiollinen
ergonominen	hidas	huomaavainen	epäoikeudenmukainen	hyödyntäviä	mielikuvitukseton	rehellinen	epäsuora	ideologia		kilpailukykyiset	tappiolliseksi
erinomainen	hidasta	huomioiden	epäreilu	hyödyntävä	perinteinen	rehti	epäsuoraa	ideologisesti		kilpailukykyistä	tappiollista
esimerkillinen	hitaampi	huomioiva	epäreilua	innokas	pidättyväinen	suora	epäuskottava	kunniallinen		kilpailuvaltti	tappiota
etevä	huono	huomioivaa	epäystävällinen	innovatiivinen	rutiininomainen	suorapuheinen	hajamielinen	moraalinen		kohoava	tehoton
fiksu	huonolaatuinen	hurmaava	etäinen	intuitiivinen	stereotyyppinen	suoraselkäinen	huolimaton	vastuullinen		kunnianhimoinen	tuottamaton
helpohko	huonolaatuisia	hyväsydäminen	hallitseva	itsevarma	tavanomainen	suoraviivainen	kiertelevä	vastuullisuus		kustannustehokas	
helpoin	hutera	hyväuskoinen	hintava	jännittävä	tylsä	suorempi	looginen	vastuuntuntoinen		laajeneva	
helpompi	hölmö	idyllinen	häikäilemätön	kehittyvä	tylsähkö	tarkka	petollinen	velvollisuudentuntoinen		liikevoittoa	
helppo	idiootti	ihastuttava	ilkeä	kehittävä	tyypillinen	tunnollinen	petos	yhteiskunnallinen		lisääntymässä	
helppoa	kelvoton	ihmisläheinen	inhottava	ketterä	vanhahtava	turvallinen	ristiriitainen	yhteiskuntavastuu		lisääntynyt	
helppokäyttöinen	kurja	ilahtunut	itsekeskeinen	kiehtova	vanhakantainen	turvallisempi	salaperäinen	yhteiskuntavastuullinen		lisääntyvä	
hieno	kädetön	iloinen	itsekäs	kokeilunhaluinen	vanhanaikainen	turvallista	sulkeutui	yhteisöllinen		lyömätön	
hienosteleva	käsittelemätön	interaktiivinen	itserakas	leikkisä	vanhoillinen	uskottava	sulkeutunut	ympäristöteko		menestyjä	
hienostuneen	kömpelö	kannustava	itseriittoinen	liberaali	yksitoikkoinen	uskottavaa	valehtelija	ympäristövastuullinen		menestynyt	
hienostunut	köyhä	kaunis	itsetietoinen	luova		uskottavampi	varomaton	ympäristöystävällinen		menestyvä	
hillitty	likainen	keskusteleva	joustamaton	mielikuvituksellinen		vakuuttava	vilpillinen			menestyy	
hintansa arvoinen	mahdoton	kiltti	julma	moderni		varmatoiminen	välillinen			motivoitunut	
houkutteleva	mitätön	kodikas	jyrkkä	nokkela		vilpittömyys				määrätietoinen	
huippuhyvä	mitäänsanomaton	kohtelias	jäinen	nykyaikainen						nimekäs	
hygieeninen	monimutkainen	kohtuuhintainen	jääkylmä	oivaltava						nousu	
hyvä	monimutkaisempi	kommunikaatio	jääräpäinen	omalaatuinen						palkittu	
hyvälaatuinen	monitahoinen	kotoisa	kallis	omaperäinen						periksiantamaton	
järkevä	monivaiheinen	kuunteleva	kireä	rohkea						pitkäjänteinen	
kelvollinen	mutkikas	leppoisa	kiukkuinen	tekninen						päättäväinen	
kompakti	osaamaton	lämmin	kiusallinen	teknisen						rautainen	
korkealaatuinen	puutteellinen	lämpöinen	kiusallista	teknologinen						riskitön	
korkealuokkainen	rakeinen	maanläheinen	kolea	tutkiva						räjähdysmäisesti	
korkeatasoinen	ruma	mielissäni	kompleksinen	uhkarohkea						sisukas	
koulutettu	sekava	miellyttävä	kontrolloiva	uskalias						taloudellinen	
kunnollinen	surkea	miellyttävän	kovapäinen	utelias						tarmokas	
kyvykäs	suttuinen	mukava	kylmä	uudenaikainen						tavoiteorientoitunut	
kätevä	säälittävä	mukavahan	kyyninen	uudentyyppinen						tehokas	
käytännöllinen	taitamaton	myötätuntoinen	kärsimätön	yritteliäs						toimeentuleva	
laadukas	toimimaton	nautinnollinen	kärttyinen							tuloksellinen	
laaja-alainen	tollo	nätti	masentava							tunnustettu	
laatunsa	tumpelo	nöyrä	määräilevä							tuottaisi	
lahjakas	tyhmä	oikeamielinen	oksettava							tuottamaan	
loistava	typerä	oikeudenmukainen	omahyväinen							tuottava	
luja	tyylitön	oikeudenmukaisempi	omapäinen							työteliäs	
mahtava	vaikea 	oikeudenmukaiset	paha							vahva	
mainio	vaivalloinen	oikeudenmukaisia	pahantuulinen							vaikutusvaltainen	
monikäyttöinen		onnellinen	pelottava							vakaa	
monipuolinen		optimistinen	piittaamaton							vakaampi	
nopea		osallistava	rasittava							vakaus	
näppärä		pirteä	ruma							vakavarainen	
oiva		pyyteetön	röyhkeä							vankka	
oivallinen		raikas	sarkastinen							varakas	
osaaja		rauhallinen	sivistymätön							vetovoimainen	
osaava		reilu	stressaantunut							voimakas	
osaava		reilumpi	suorasukainen							voimakastahtoinen	
palveleva		reilut	syrjivä							vähäriskinen	
palvelualtis		rempseä	tukala							ylijäämäinen	
pätevä		seurallinen	tunteeton							ylivoimainen	
pätevämpi		sivistynyt	turhamainen								
ripeä		suojaava	tuskallinen								
rivakka		suojeleva	tökerö								
selkeä		sydämellinen	töykeä								
skaalautuva		sympaattinen	vainoharhainen								
superhyvä		söpö	vastenmielinen								
säänkestävä		tukee	vetäytyvä								
taidokas		tukeva	vieraantunut								
taitava		tunnelmallinen	väkivaltainen								
tasokas		valloittava	välinpitämätön								
toimi		vastaanottavainen	ylihinnoiteltu								
toimii		vastavuoroinen	ylimielinen								
toimiikin		viehättävä	äkkipikainen								
toiminut		vieraanvarainen	äkäinen								
toimiva 		vuorovaikutteinen	ällöttävä								
toimivan		vuorovaikutteisen	äreä								
tyylikäs		vuorovaikutus									
vaivaton		välittävä									
viisas		yhteistyökykyinen									
virtaviivainen		ystävällinen									
väärti											
väärtti											
yksinkertainen											
ylellinen											
ylempiluokkainen											
ylevä											
älykäs											
